t (s),V (mV)
532.041,11.6653
533.042,11.656
534.043,11.6456
535.044,11.6358
536.045,11.6248
537.046,11.6139
538.047,11.6033
539.048,11.5924
540.049,11.5816
541.05,11.5707
542.051,11.5597
543.021,11.5502
544.041,11.5396
545.042,11.5297
546.043,11.5202
547.044,11.5106
548.045,11.5019
549.046,11.4929
550.047,11.4835
551.048,11.4743
552.049,11.4653
553.05,11.4553
554.051,11.4463
555.052,11.4371
556.022,11.427
557.023,11.4178
558.024,11.4089
559.025,11.3999
560.026,11.3908
561.027,11.3817
562.028,11.3713
563.029,11.3617
564.03,11.3516
565.031,11.3419
566.032,11.3321
567.033,11.3224
568.034,11.3121
569.035,11.3006
570.036,11.2901
571.037,11.2811
572.038,11.2715
573.039,11.2613
574.04,11.2512
575.041,11.241
576.042,11.2303
577.043,11.2211
578.044,11.2103
579.045,11.1997
580.046,11.1896
581.047,11.1802
582.048,11.1703
583.049,11.1604
584.05,11.1513
585.051,11.1411
586.052,11.1313
587.021,11.1224
588.022,11.1122
589.023,11.1021
590.024,11.0919
591.025,11.0819
592.026,11.0718
593.027,11.0614
594.028,11.0516
595.029,11.0413
596.03,11.0313
597.031,11.0214
598.032,11.0113
599.033,11.0009
600.034,10.9902
