t, ñ	wz	
3,135	6728	
3,14	6032	
3,145	4853	
3,15	3983	
3,155	3563	
3,16	3851	
3,165	4581	
3,17	5730	
3,175	6705	
3,18	7123	
3,185	6737	
3,19	5841	
3,195	4307	
3,2	3597	
3,205	3564	
3,21	4182	
3,215	5281	
3,22	6197	
3,225	6776	
3,23	6788	
3,235	6255	
3,24	5236	
3,245	4206	
3,25	3515	
3,255	3349	
3,26	3723	
3,265	4443	
3,27	5285	
3,275	5839	
3,28	5749	
3,285	5081	
3,29	4225	
3,295	3466	
3,3	3037	
3,305	3032	
3,31	3456	
3,315	4073	
3,32	4581	
3,325	4769	
3,33	4648	
3,335	4191	
3,34	3571	
3,345	2919	
3,35	2517	
3,355	2398	
3,36	2625	
3,365	2905	
3,37	3123	
3,375	3163	
3,38	2907	
3,385	2463	
3,39	1995	
3,395	1627	
3,4	1416	
3,405	1417	
3,41	1641	
3,415	1912	
3,42	1987	
3,425	1823	
3,43	1497	
3,435	1088	
3,44	456	
3,445	276	
3,45	395	
3,455	599	
3,46	742	
3,465	730	
3,47	577	
3,475	136	
3,48	-518	
3,485	-1106	
3,49	-1402	
3,495	-1430	
3,5	-1195	
3,505	-775	
3,51	-316	
3,515	-145	
3,52	-734	
3,525	-1470	
3,53	-2289	
3,535	-2930	
3,54	-3191	
3,545	-2901	
3,55	-2259	
3,555	-1535	
3,56	-1159	
3,565	-1207	
3,57	-1755	
3,575	-2736	
3,58	-3820	
3,585	-4587	
3,59	-4786	
3,595	-4473	
3,6	-3340	
3,605	-2541	
3,61	-2162	
3,615	-2409	
3,62	-3228	
3,625	-4248	
3,63	-5252	
3,635	-5836	
3,64	-5797	
3,645	-5121	
3,65	-4194	
3,655	-3382	
3,66	-3075	
3,665	-3350	
3,67	-4199	
3,675	-5287	
3,68	-6545	
3,685	-6675	
3,69	-6238	
3,695	-5487	
3,7	-4708	
3,705	-4233	
3,71	-4277	
3,715	-4859	
3,72	-5697	
3,725	-6421	
3,73	-6827	
3,735	-6764	
3,74	-6238	
3,745	-5495	
3,75	-4881	
3,755	-4698	
3,76	-4997	
3,765	-6020	
3,77	-6718	
3,775	-7072	
3,78	-6863	
3,785	-6240	
3,79	-5525	
3,795	-5003	
3,8	-4920	
3,805	-5347	
3,81	-6081	
3,815	-6841	
3,82	-7230	
3,825	-7081	
3,83	-6425	
3,835	-5548	
3,84	-4736	
3,845	-4357	
3,85	-4789	
3,855	-5608	
3,86	-6465	
3,865	-6985	
3,87	-6928	
3,875	-6316	
3,88	-5315	
3,885	-4322	
3,89	-3729	
3,895	-3749	
3,9	-4392	
3,905	-5375	
3,91	-6301	
3,915	-6750	
3,92	-6531	
3,925	-5089	
3,93	-3917	
3,935	-3054	
3,94	-2794	
3,945	-3202	
3,95	-4057	
