t, ñ	wz	
45,565	0,36	
45,57	0,34	
45,575	0,33	
45,58	0,31	
45,585	0,29	
45,59	0,28	
45,595	0,26	
45,6	0,25	
45,605	0,23	
45,61	0,21	
45,615	0,19	
45,62	0,17	
45,625	0,15	
45,63	0,14	
45,635	0,12	
45,64	0,11	
45,645	0,09	
45,65	0,07	
45,655	0,05	
45,66	0,03	
45,665	0,01	
45,67	-0,01	
45,675	-0,03	
45,68	-0,04	
45,685	-0,06	
45,69	-0,08	
45,695	-0,09	
45,7	-0,11	
45,705	-0,13	
45,71	-0,15	
45,715	-0,18	
