t, ñ	wz	
5,165	-2305	
5,17	-2276	
5,175	-2295	
5,18	-2304	
5,185	-2319	
5,19	-2231	
5,195	-2080	
5,2	-1837	
5,205	-1572	
5,21	-1170	
5,215	-956	
5,22	-846	
5,225	-796	
5,23	-821	
5,235	-833	
5,24	-838	
5,245	-741	
5,25	-601	
5,255	-365	
5,26	-95	
5,265	194	
5,27	442	
5,275	617	
5,28	699	
5,285	710	
5,29	678	
5,295	703	
5,3	811	
5,305	1022	
5,31	1284	
5,315	1577	
5,32	1830	
5,325	2037	
5,33	2133	
5,335	2159	
5,34	2151	
5,345	2130	
5,35	2121	
5,355	2232	
5,36	2410	
5,365	2630	
5,37	3011	
5,375	3238	
5,38	3377	
5,385	3448	
5,39	3459	
5,395	3444	
5,4	3465	
5,405	3482	
5,41	3581	
5,415	3742	
5,42	3940	
5,425	4132	
5,43	4335	
5,435	4477	
5,44	4583	
5,445	4608	
5,45	4585	
5,455	4554	
5,46	4527	
5,465	4546	
5,47	4628	
5,475	4782	
5,48	4952	
5,485	5144	
5,49	5302	
5,495	5367	
5,5	5352	
5,505	5275	
5,51	5137	
5,515	5040	
5,52	5012	
5,525	5084	
5,53	5232	
5,535	5530	
5,54	5699	
5,545	5795	
5,55	5767	
5,555	5629	
5,56	5462	
5,565	5265	
5,57	5128	
5,575	5098	
5,58	5183	
5,585	5321	
5,59	5495	
5,595	5645	
5,6	5691	
5,605	5627	
5,61	5485	
5,615	5176	
5,62	4991	
5,625	4892	
5,63	4889	
5,635	4938	
5,64	5054	
5,645	5162	
5,65	5187	
5,655	5115	
5,66	4977	
5,665	4754	
5,67	4531	
5,675	4364	
5,68	4254	
5,685	4195	
5,69	4179	
5,695	4219	
5,7	4204	
5,705	4142	
5,71	4052	
5,715	3927	
5,72	3757	
5,725	3567	
5,73	3407	
5,735	3233	
5,74	3123	
5,745	3009	
5,75	2955	
5,755	2921	
5,76	2914	
5,765	2843	
5,77	2743	
5,775	2475	
5,78	2230	
5,785	1964	
5,79	1742	
5,795	1583	
5,8	1461	
5,805	1423	
5,81	1445	
5,815	1462	
5,82	1406	
5,825	1305	
5,83	1111	
5,835	803	
5,84	492	
5,845	220	
5,85	35	
5,855	-65	
5,86	-38	
5,865	-14	
5,87	-9	
5,875	-120	
5,88	-343	
5,885	-618	
5,89	-934	
5,895	-1240	
5,9	-1487	
5,905	-1605	
5,91	-1644	
5,915	-1617	
5,92	-1579	
5,925	-1559	
5,93	-1671	
5,935	-1968	
5,94	-2255	
5,945	-2558	
5,95	-2795	
5,955	-2946	
5,96	-2998	
5,965	-2964	
5,97	-2909	
5,975	-2898	
5,98	-2920	
5,985	-3065	
5,99	-3291	
5,995	-3564	
6,0	-3805	
6,005	-4027	
6,01	-4151	
6,015	-4220	
6,02	-4197	
6,025	-4147	
6,03	-4137	
6,035	-4183	
6,04	-4293	
6,045	-4433	
6,05	-4635	
6,055	-4813	
6,06	-4965	
6,065	-5049	
6,07	-5076	
6,075	-5074	
6,08	-5019	
6,085	-4979	
6,09	-4974	
6,095	-5015	
6,1	-5162	
6,105	-5327	
6,11	-5478	
6,115	-5598	
6,12	-5672	
6,125	-5670	
6,13	-5599	
6,135	-5500	
6,14	-5395	
6,145	-5340	
6,15	-5337	
6,155	-5377	
6,16	-5500	
6,165	-5620	
6,17	-5705	
6,175	-5762	
6,18	-5681	
6,185	-5556	
6,19	-5405	
6,195	-5244	
6,2	-5153	
6,205	-5159	
6,21	-5205	
6,215	-5294	
6,22	-5398	
6,225	-5457	
6,23	-5427	
6,235	-5331	
6,24	-5158	
6,245	-4968	
6,25	-4758	
6,255	-4620	
6,26	-4539	
6,265	-4554	
6,27	-4614	
6,275	-4647	
6,28	-4637	
6,285	-4553	
6,29	-4401	
6,295	-4179	
6,3	-3951	
6,305	-3752	
6,31	-3601	
6,315	-3505	
6,32	-3508	
6,325	-3539	
6,33	-3574	
6,335	-3563	
6,34	-3393	
6,345	-3190	
6,35	-2925	
6,355	-2643	
6,36	-2416	
6,365	-2250	
6,37	-2183	
6,375	-2137	
6,38	-2154	
6,385	-2116	
6,39	-2065	
6,395	-1910	
6,4	-1704	
6,405	-1446	
6,41	-1192	
6,415	-945	
6,42	-693	
6,425	-637	
6,43	-591	
6,435	-589	
6,44	-529	
6,445	-436	
6,45	-274	
6,455	-69	
6,46	180	
6,465	410	
6,47	619	
6,475	797	
6,48	927	
6,485	1007	
6,49	1073	
6,495	1139	
6,5	1217	
6,505	1402	
6,51	1593	
6,515	1824	
6,52	2039	
6,525	2243	
6,53	2426	
6,535	2525	
6,54	2585	
6,545	2607	
6,55	2653	
6,555	2702	
6,56	2783	
6,565	2943	
6,57	3173	
6,575	3410	
6,58	3654	
6,585	3936	
6,59	4034	
6,595	4039	
6,6	4007	
6,605	3982	
6,61	3987	
6,615	4078	
6,62	4222	
6,625	4443	
6,63	4667	
6,635	4874	
6,64	4991	
6,645	5055	
6,65	5014	
6,655	4972	
6,66	4907	
6,665	4918	
6,67	5038	
6,675	5184	
6,68	5385	
6,685	5552	
6,69	5704	
6,695	5731	
6,7	5719	
6,705	5622	
6,71	5571	
6,715	5497	
6,72	5492	
6,725	5544	
6,73	5666	
6,735	5784	
6,74	5893	
6,745	5992	
6,75	5982	
6,755	5908	
6,76	5805	
6,765	5708	
6,77	5616	
6,775	5583	
6,78	5589	
6,785	5652	
6,79	5734	
6,795	5796	
6,8	5816	
6,805	5782	
6,81	5723	
6,815	5593	
6,82	5462	
6,825	5279	
6,83	5180	
6,835	5121	
6,84	5114	
6,845	5133	
6,85	5181	
6,855	5189	
6,86	5146	
6,865	5034	
6,87	4854	
6,875	4641	
6,88	4439	
6,885	4292	
6,89	4195	
6,895	4189	
6,9	4207	
6,905	4230	
6,91	4199	
6,915	4093	
6,92	3939	
6,925	3716	
6,93	3474	
6,935	3243	
6,94	3077	
6,945	2941	
6,95	2858	
6,955	2818	
6,96	2812	
6,965	2781	
6,97	2716	
6,975	2572	
6,98	2390	
6,985	2141	
6,99	1693	
6,995	1463	
7,0	1301	
7,005	1199	
7,01	1192	
7,015	1254	
7,02	1275	
7,025	1220	
7,03	1064	
7,035	781	
7,04	447	
7,045	85	
7,05	-191	
7,055	-342	
7,06	-370	
7,065	-327	
7,07	-282	
7,075	-324	
7,08	-496	
7,085	-770	
7,09	-1107	
7,095	-1448	
7,1	-1736	
7,105	-1949	
7,11	-2034	
7,115	-2040	
7,12	-1959	
7,125	-1904	
7,13	-1899	
7,135	-2008	
7,14	-2222	
7,145	-2557	
7,15	-3068	
7,155	-3321	
7,16	-3475	
7,165	-3523	
7,17	-3482	
7,175	-3399	
7,18	-3391	
7,185	-3451	
7,19	-3610	
7,195	-3830	
7,2	-4107	
7,205	-4356	
7,21	-4529	
7,215	-4610	
7,22	-4620	
7,225	-4569	
7,23	-4507	
7,235	-4533	
7,24	-4623	
7,245	-4773	
7,25	-4963	
7,255	-5158	
7,26	-5300	
7,265	-5417	
7,27	-5449	
7,275	-5468	
7,28	-5441	
7,285	-5426	
7,29	-5429	
7,295	-5475	
7,3	-5528	
7,305	-5610	
7,31	-5774	
7,315	-5837	
7,32	-5904	
7,325	-5949	
7,33	-5935	
7,335	-5891	
7,34	-5829	
7,345	-5758	
7,35	-5682	
7,355	-5656	
7,36	-5671	
7,365	-5738	
7,37	-5820	
7,375	-5945	
7,38	-5994	
7,385	-6039	
7,39	-5891	
7,395	-5728	
7,4	-5550	
7,405	-5412	
7,41	-5348	
7,415	-5379	
7,42	-5468	
7,425	-5565	
7,43	-5636	
7,435	-5615	
7,44	-5492	
7,445	-5287	
7,45	-5069	
7,455	-4828	
7,46	-4675	
7,465	-4592	
7,47	-4631	
7,475	-4729	
7,48	-4794	
7,485	-4777	
7,49	-4663	
7,495	-4442	
7,5	-4188	
7,505	-3958	
7,51	-3762	
7,515	-3641	
7,52	-3630	
7,525	-3653	
7,53	-3660	
7,535	-3615	
7,54	-3532	
7,545	-3354	
7,55	-3109	
7,555	-2716	
7,56	-2496	
7,565	-2348	
7,57	-2228	
7,575	-2172	
7,58	-2155	
7,585	-2096	
7,59	-2011	
7,595	-1863	
7,6	-1697	
7,605	-1487	
7,61	-1281	
7,615	-1080	
7,62	-907	
7,625	-769	
7,63	-639	
7,635	-470	
7,64	-370	
7,645	-271	
7,65	-122	
7,655	30	
7,66	202	
7,665	414	
7,67	663	
7,675	849	
7,68	1051	
7,685	1210	
7,69	1331	
7,695	1382	
7,7	1449	
7,705	1520	
7,71	1610	
7,715	1835	
7,72	2040	
7,725	2300	
7,73	2513	
7,735	2722	
7,74	2854	
7,745	2942	
7,75	2969	
7,755	2992	
7,76	3034	
7,765	3135	
7,77	3314	
7,775	3535	
7,78	3801	
7,785	4039	
7,79	4230	
7,795	4332	
7,8	4331	
7,805	4272	
7,81	4257	
7,815	4303	
7,82	4406	
7,825	4574	
7,83	4828	
7,835	5040	
7,84	5217	
7,845	5327	
7,85	5359	
7,855	5324	
7,86	5253	
7,865	5228	
7,87	5251	
7,875	5400	
7,88	5581	
7,885	5761	
7,89	5901	
7,895	5968	
7,9	6011	
7,905	5953	
7,91	5874	
7,915	5796	
7,92	5754	
7,925	5749	
7,93	5794	
7,935	5897	
7,94	6000	
7,945	6087	
7,95	6133	
7,955	6144	
7,96	6069	
7,965	6013	
7,97	5941	
7,975	5907	
7,98	5879	
7,985	5884	
7,99	5904	
7,995	5925	
8,0	5931	
8,005	5925	
8,01	5886	
8,015	5805	
8,02	5708	
8,025	5605	
8,03	5496	
8,035	5376	
8,04	5265	
8,045	5235	
8,05	5209	
8,055	5200	
8,06	5187	
8,065	5136	
8,07	5047	
8,075	4905	
8,08	4727	
8,085	4548	
8,09	4373	
8,095	4269	
8,1	4169	
8,105	4167	
8,11	4169	
8,115	4178	
8,12	4070	
8,125	3908	
8,13	3682	
8,135	3409	
8,14	3174	
8,145	2955	
8,15	2827	
8,155	2766	
8,16	2771	
8,165	2747	
8,17	2714	
8,175	2611	
8,18	2435	
8,185	2180	
8,19	1921	
8,195	1649	
8,2	1366	
8,205	1290	
8,21	1253	
8,215	1250	
8,22	1204	
8,225	1120	
8,23	902	
8,235	645	
8,24	341	
8,245	88	
8,25	-160	
8,255	-297	
8,26	-384	
8,265	-420	
8,27	-469	
8,275	-529	
8,28	-723	
8,285	-932	
8,29	-1162	
8,295	-1396	
8,3	-1592	
8,305	-1762	
8,31	-1870	
8,315	-1956	
8,32	-2028	
8,325	-2115	
8,33	-2224	
8,335	-2375	
8,34	-2541	
8,345	-2728	
8,35	-2926	
8,355	-3129	
8,36	-3379	
8,365	-3507	
8,37	-3614	
8,375	-3703	
8,38	-3784	
8,385	-3843	
8,39	-3908	
8,395	-4001	
8,4	-4100	
8,405	-4229	
8,41	-4395	
8,415	-4577	
8,42	-4730	
8,425	-4860	
8,43	-4944	
