t, ñ	wz	
2,725	-1211	
2,73	-1463	
2,735	-1560	
2,74	-2007	
2,745	-2277	
2,75	-2292	
2,755	-2120	
2,76	-1710	
2,765	-1423	
2,77	-1166	
2,775	-1232	
2,78	-1345	
2,785	-1798	
2,79	-2206	
2,795	-2364	
2,8	-2133	
2,805	-1864	
2,81	-1445	
2,815	-1154	
2,82	-1010	
2,825	-1175	
2,83	-1522	
2,835	-1985	
2,84	-2294	
2,845	-2157	
2,85	-1987	
2,855	-1439	
2,86	-1160	
2,865	-888	
2,87	-1024	
2,875	-1206	
2,88	-1639	
2,885	-2058	
2,89	-1924	
2,895	-1697	
2,9	-1169	
2,905	-892	
2,91	-528	
2,915	-651	
2,92	-835	
2,925	-1341	
2,93	-1731	
2,935	-1691	
2,94	-1456	
2,945	-994	
2,95	-603	
2,955	-245	
2,96	-287	
2,965	-487	
2,97	-950	
2,975	-1377	
2,98	-1481	
2,985	-1194	
2,99	-746	
2,995	-156	
3,0	188	
3,005	302	
3,01	89	
3,015	-323	
3,02	-934	
3,025	-1113	
3,03	-837	
3,035	-423	
3,04	204	
3,045	609	
3,05	845	
3,055	660	
3,06	282	
3,065	-405	
3,07	-639	
3,075	-513	
3,08	-154	
3,085	442	
3,09	952	
3,095	1285	
3,1	1233	
3,105	964	
3,11	306	
3,115	-16	
3,12	-44	
3,125	252	
3,13	764	
3,135	1255	
3,14	1618	
3,145	1686	
3,15	1496	
3,155	883	
3,16	585	
3,165	515	
3,17	719	
3,175	1100	
3,18	1560	
3,185	1907	
3,19	2028	
3,195	1887	
3,2	1413	
3,205	1169	
3,21	1062	
3,215	1228	
3,22	1544	
3,225	1968	
3,23	2256	
3,235	2390	
3,24	2252	
3,245	1850	
3,25	1561	
3,255	1465	
3,26	1582	
3,265	1897	
3,27	2257	
3,275	2551	
3,28	2669	
3,285	2581	
3,29	2151	
3,295	1866	
3,3	1766	
3,305	1804	
3,31	2095	
3,315	2423	
3,32	2725	
3,325	2837	
3,33	2795	
3,335	2550	
3,34	2155	
3,345	2006	
3,35	2025	
3,355	2217	
3,36	2490	
3,365	2743	
3,37	2866	
3,375	2840	
3,38	2649	
3,385	2298	
3,39	2121	
3,395	2096	
3,4	2197	
3,405	2405	
3,41	2609	
3,415	2723	
3,42	2724	
3,425	2614	
3,43	2341	
3,435	2189	
3,44	2171	
3,445	2215	
3,45	2315	
3,455	2395	
3,46	2461	
3,465	2404	
3,47	2300	
3,475	2131	
3,48	2050	
3,485	2042	
3,49	2051	
3,495	2113	
3,5	2093	
3,505	2071	
3,51	1960	
3,515	1866	
3,52	1719	
3,525	1677	
3,53	1731	
3,535	1793	
3,54	1866	
