t, ñ	wz	
47,395	4451	
47,4	4441	
47,405	4395	
47,41	4375	
47,415	4347	
47,42	4325	
47,425	4327	
47,43	4328	
47,435	4315	
47,44	4296	
47,445	4263	
47,45	4200	
47,455	4161	
47,46	4125	
47,465	4098	
47,47	4069	
47,475	4052	
47,48	4046	
47,485	4013	
47,49	3976	
47,495	3938	
47,5	3863	
47,505	3790	
47,51	3724	
47,515	3672	
47,52	3616	
47,525	3581	
47,53	3517	
47,535	3448	
47,54	3369	
47,545	3286	
47,55	3199	
47,555	3133	
47,56	3077	
47,565	3036	
47,57	2981	
47,575	2925	
47,58	2784	
47,585	2688	
47,59	2585	
47,595	2478	
47,6	2381	
47,605	2286	
47,61	2211	
47,615	2134	
47,62	2047	
47,625	1971	
47,63	1899	
47,635	1784	
47,64	1672	
47,645	1567	
47,65	1475	
47,655	1366	
47,66	1259	
47,665	1176	
47,67	1084	
47,675	981	
47,68	860	
47,685	743	
47,69	615	
47,695	498	
47,7	392	
47,705	305	
47,71	221	
47,715	130	
47,72	36	
47,725	-54	
47,73	-177	
47,735	-282	
47,74	-443	
47,745	-553	
47,75	-660	
47,755	-743	
47,76	-852	
47,765	-965	
47,77	-1057	
47,775	-1166	
47,78	-1268	
47,785	-1361	
47,79	-1450	
47,795	-1543	
47,8	-1627	
47,805	-1723	
47,81	-1822	
47,815	-1934	
47,82	-2027	
47,825	-2174	
47,83	-2267	
47,835	-2336	
47,84	-2412	
47,845	-2468	
47,85	-2569	
47,855	-2633	
47,86	-2717	
47,865	-2816	
47,87	-2928	
47,875	-2995	
47,88	-3063	
47,885	-3149	
47,89	-3207	
47,895	-3259	
47,9	-3329	
47,905	-3426	
47,91	-3507	
47,915	-3595	
47,92	-3663	
47,925	-3730	
47,93	-3777	
47,935	-3810	
47,94	-3824	
47,945	-3870	
47,95	-3913	
47,955	-3975	
47,96	-4045	
47,965	-4107	
47,97	-4165	
47,975	-4187	
47,98	-4202	
47,985	-4244	
47,99	-4264	
47,995	-4267	
48,0	-4299	
48,005	-4331	
48,01	-4340	
48,015	-4363	
48,02	-4388	
48,025	-4399	
48,03	-4393	
48,035	-4393	
48,04	-4397	
48,045	-4418	
48,05	-4409	
48,055	-4424	
48,06	-4438	
48,065	-4420	
48,07	-4409	
48,075	-4389	
48,08	-4360	
48,085	-4345	
48,09	-4342	
48,095	-4318	
48,1	-4304	
48,105	-4290	
48,11	-4244	
48,115	-4189	
48,12	-4172	
48,125	-4126	
48,13	-4088	
48,135	-4048	
48,14	-4015	
48,145	-3944	
48,15	-3876	
48,155	-3840	
48,16	-3789	
48,165	-3731	
48,17	-3660	
48,175	-3630	
48,18	-3563	
48,185	-3510	
48,19	-3443	
48,195	-3377	
48,2	-3295	
48,205	-3206	
48,21	-3128	
48,215	-3054	
48,22	-2979	
48,225	-2875	
48,23	-2812	
48,235	-2734	
48,24	-2646	
48,245	-2555	
48,25	-2455	
48,255	-2357	
48,26	-2245	
48,265	-2175	
48,27	-2086	
48,275	-1997	
48,28	-1890	
48,285	-1806	
48,29	-1710	
48,295	-1641	
48,3	-1545	
48,305	-1453	
48,31	-1347	
48,315	-1227	
48,32	-1118	
48,325	-1019	
48,33	-911	
48,335	-791	
48,34	-695	
48,345	-596	
48,35	-501	
48,355	-404	
48,36	-303	
48,365	-195	
48,37	-89	
48,375	23	
48,38	153	
48,385	250	
48,39	398	
48,395	485	
48,4	578	
48,405	673	
48,41	787	
48,415	891	
48,42	1020	
48,425	1136	
48,43	1239	
48,435	1334	
48,44	1413	
48,445	1476	
48,45	1560	
48,455	1653	
48,46	1758	
48,465	1881	
48,47	2030	
48,475	2119	
48,48	2208	
48,485	2287	
48,49	2359	
48,495	2468	
48,5	2549	
48,505	2622	
48,51	2727	
48,515	2810	
48,52	2891	
48,525	2977	
48,53	3042	
48,535	3107	
48,54	3164	
48,545	3231	
48,55	3350	
48,555	3435	
48,56	3505	
48,565	3596	
48,57	3627	
48,575	3675	
48,58	3735	
48,585	3771	
48,59	3801	
48,595	3879	
48,6	3934	
48,605	3987	
48,61	4041	
48,615	4105	
48,62	4133	
48,625	4169	
48,63	4214	
48,635	4241	
48,64	4267	
48,645	4315	
48,65	4349	
48,655	4371	
48,66	4381	
48,665	4391	
48,67	4375	
48,675	4359	
48,68	4365	
48,685	4391	
48,69	4423	
48,695	4456	
48,7	4473	
48,705	4482	
48,71	4467	
48,715	4453	
48,72	4424	
48,725	4413	
48,73	4406	
48,735	4394	
48,74	4367	
48,745	4358	
48,75	4351	
48,755	4312	
48,76	4263	
48,765	4227	
48,77	4173	
48,775	4133	
48,78	4109	
48,785	4094	
48,79	4079	
48,795	4027	
48,8	3982	
48,805	3894	
48,81	3835	
48,815	3741	
48,82	3687	
48,825	3665	
48,83	3623	
48,835	3578	
48,84	3524	
48,845	3427	
48,85	3318	
48,855	3220	
48,86	3143	
48,865	3077	
48,87	3032	
48,875	2968	
48,88	2887	
48,885	2809	
48,89	2708	
48,895	2595	
48,9	2491	
48,905	2396	
48,91	2319	
48,915	2235	
48,92	2175	
48,925	2097	
48,93	2020	
48,935	1937	
48,94	1826	
48,945	1705	
48,95	1580	
48,955	1416	
48,96	1311	
48,965	1224	
48,97	1151	
48,975	1062	
48,98	968	
48,985	857	
48,99	748	
48,995	647	
49,0	522	
49,005	411	
49,01	338	
49,015	252	
49,02	144	
49,025	57	
49,03	-37	
49,035	-241	
49,04	-366	
49,045	-473	
49,05	-596	
49,055	-689	
49,06	-781	
49,065	-874	
49,07	-975	
49,075	-1076	
49,08	-1189	
49,085	-1307	
49,09	-1410	
49,095	-1504	
49,1	-1605	
49,105	-1680	
49,11	-1745	
